name,path,size,type
lesson_01,C:\Users\Admin\MyProjectsPython\GB_python\venv,4363,directory
lesson_02,C:\Users\Admin\MyProjectsPython\GB_python\venv,4978,directory
lesson_03,C:\Users\Admin\MyProjectsPython\GB_python\venv,10117,directory
lesson_04,C:\Users\Admin\MyProjectsPython\GB_python\venv,10010,directory
lesson_05,C:\Users\Admin\MyProjectsPython\GB_python\venv,5460,directory
lesson_06,C:\Users\Admin\MyProjectsPython\GB_python\venv,6696,directory
lesson_07,C:\Users\Admin\MyProjectsPython\GB_python\venv,10568,directory
lesson_08,C:\Users\Admin\MyProjectsPython\GB_python\venv,11777,directory
Lib,C:\Users\Admin\MyProjectsPython\GB_python\venv,16858296,directory
Scripts,C:\Users\Admin\MyProjectsPython\GB_python\venv,2160578,directory
seminar_01,C:\Users\Admin\MyProjectsPython\GB_python\venv,6266,directory
seminar_02,C:\Users\Admin\MyProjectsPython\GB_python\venv,9936,directory
seminar_03,C:\Users\Admin\MyProjectsPython\GB_python\venv,9509,directory
seminar_04,C:\Users\Admin\MyProjectsPython\GB_python\venv,10206,directory
seminar_05,C:\Users\Admin\MyProjectsPython\GB_python\venv,6331,directory
seminar_06,C:\Users\Admin\MyProjectsPython\GB_python\venv,8430,directory
seminar_07,C:\Users\Admin\MyProjectsPython\GB_python\venv,7908,directory
seminar_08,C:\Users\Admin\MyProjectsPython\GB_python\venv,542549,directory
.gitignore,C:\Users\Admin\MyProjectsPython\GB_python\venv,42,file
pyvenv.cfg,C:\Users\Admin\MyProjectsPython\GB_python\venv,404,file
task_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,480,file
task_if_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,104,file
task_if_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,197,file
task_if_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,248,file
task_if_04.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,387,file
task_if_05.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,315,file
task_if_06.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,379,file
task_if_07.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,290,file
task_if_08.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,196,file
task_if_09.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,166,file
task_if_10.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,228,file
task_loop_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,114,file
task_loop_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,196,file
task_loop_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,304,file
task_loop_04.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,473,file
task_loop_05.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,74,file
task_loop_06.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,91,file
task_loop_07.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_01,121,file
lesson_task_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,55,file
lesson_task_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,721,file
task_atr_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,49,file
task_atr_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,63,file
task_atr_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,26,file
task_atr_04.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,31,file
task_dig_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,85,file
task_dig_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,113,file
task_dig_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,23,file
task_dig_04.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,77,file
task_dig_05.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,99,file
task_dig_06.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,169,file
task_dig_07.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,150,file
task_dig_08.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,74,file
task_math_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,99,file
task_math_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,302,file
task_math_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,118,file
task_math_04.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,71,file
task_math_05.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,146,file
task_mut_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,186,file
task_mut_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,101,file
task_mut_03.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,171,file
task_str_01.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,208,file
task_str_02.py,C:\Users\Admin\MyProjectsPython\GB_python\venv\lesson_02,467,file
